Plant models	Common name	Vertebrate models	Common name
Actinidia chinensis	Golden kiwifruit	Bos taurus	Cow
Amborella trichopoda	Amborella	Canis lupus familiaris	Dog
Ananas comosus	Pineapple	Capra hircus	Goat
Aquilegia coerulea	Rocky mountain columbine	Danio rerio	Zebrafish
Arabidopsis lyrata	Lyre-leaved thale-cres	Drosophila melanogaster	Fruit fly
Arabidopsis thaliana	Thale cress	Equus caballus	Horse
Arachis ipaensis	Cultivated peanut 	Gallus gallus	Chicken
Brachypodium distachyon	Stiff brome	Gorilla gorilla	Girilla
Brassica napus	Rapessed	Heterocephalus glaber	Naked Mole Rat
Brassica rapa	Mustard	Homo sapiens	Human
Capsella rubella	Pink shepherd's-purse	Macaca mulatta	Rhesus Monkey
Capsicum annum	Chilli	Mus musculus	Mouse
Carica papaya	Papaya	Naja naja	Indian cobra
Chlamydomonas reinhardtii	Snow algae	Ovis aries	Sheep
Cicer arietinum	Chickpea	Pan troglodytes	Chimpanzee
Citrus clementina	Clementine	Pongo abelii	Sumatran orangutan
Citrus maxima	Pomelo	Rattus norvegicus	Brown rat
Citrus sinesis	Sweet orange	Salmo salar	Atlantic Salmon
Coffea arabica	Coffee	Sus scrofa	Pig
Cucumis sativus	Cucumbers		
Daucus carota	Wild carrot		
Durio zibethinus	Durian		
Elaeis guineensis	African oil palm		
Erythranthe guttata	Seep monkeyflower		
Eucalyptus grandis	Flooded gum		
Eutrema salsugineum	Saltwater cress		
Fragaria vesca	Wild strawberry		
Glycine max	Soybean		
Gossypium barbadense 	Sea Island cotton		
Gossypium raimondii	Cotton		
Hordeum vulgare	Barley		
Jatropha curcas	Barbados nut		
Malus domestica	Apple		
Musa acuminata	Banana		
Nicotina tabacum	Tobacco		
Oryza sativa	Rice		
Pisum sativum	Pea		
Sorghum bicolor	Sorghum		
Triticum aestivum	Wheat		
Vitis vinifera	Grapevine		
Zea mays	Maize		
